budget_ms,calibrated_K,calibration_over_budget,calibration_planning_mean_sec,calibration_planning_p50_sec,calibration_planning_p90_sec,calibration_run_dir,calibration_step_count,experiment,model
50,16,False,0.04739583299960941,0.04745023197028786,0.04770504424814135,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/bc_mdn_aif/K16,10,heldout_start_goal,bc_mdn_aif
100,32,False,0.09408280370989815,0.09410443546948954,0.0947435482405126,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/bc_mdn_aif/K32,10,heldout_start_goal,bc_mdn_aif
250,64,False,0.18781745521118864,0.1880880434764549,0.18908195720287038,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/bc_mdn_aif/K64,10,heldout_start_goal,bc_mdn_aif
500,128,False,0.37804990528384225,0.37595773849170655,0.3802087972406298,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/bc_mdn_aif/K128,10,heldout_start_goal,bc_mdn_aif
1000,256,False,0.7521425209008157,0.7508244490018114,0.7550096116377971,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/bc_mdn_aif/K256,10,heldout_start_goal,bc_mdn_aif
50,8,False,0.0456542752799578,0.04554779198952019,0.04604360755765811,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cem_aif/K8,10,heldout_start_goal,cem_aif
100,16,False,0.09096326552098617,0.09111109899822623,0.09160967932548374,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cem_aif/K16,10,heldout_start_goal,cem_aif
250,32,False,0.18158458721591159,0.18242759752320126,0.18323073827195913,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cem_aif/K32,10,heldout_start_goal,cem_aif
500,64,False,0.36601526649901645,0.36370462854392827,0.3689278811099939,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cem_aif/K64,10,heldout_start_goal,cem_aif
1000,128,False,0.7277438443969004,0.7260506774764508,0.7325229279696941,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cem_aif/K128,10,heldout_start_goal,cem_aif
50,16,False,0.04681482317391783,0.04675235599279404,0.04713415855076164,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cvae_aif/K16,10,heldout_start_goal,cvae_aif
100,32,False,0.09350359649397433,0.09351830353261903,0.09431480427738279,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cvae_aif/K32,10,heldout_start_goal,cvae_aif
250,64,False,0.18642363782273605,0.18634477496379986,0.1879569826531224,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cvae_aif/K64,10,heldout_start_goal,cvae_aif
500,128,False,0.374985609902069,0.37249455746496096,0.37817996655358,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cvae_aif/K128,10,heldout_start_goal,cvae_aif
1000,256,False,0.7463096047984437,0.7437102179392241,0.7522166066104546,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/cvae_aif/K256,10,heldout_start_goal,cvae_aif
50,1,True,0.10898436788702384,0.10898477950831875,0.10909244948998094,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/diffusion_policy_aif/K1,10,heldout_start_goal,diffusion_policy_aif
100,1,True,0.10898436788702384,0.10898477950831875,0.10909244948998094,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/diffusion_policy_aif/K1,10,heldout_start_goal,diffusion_policy_aif
250,4,False,0.24930672309128568,0.249329004494939,0.24944885434815658,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/diffusion_policy_aif/K4,10,heldout_start_goal,diffusion_policy_aif
500,8,False,0.4354628689819947,0.43548642547102645,0.43564898987533524,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/diffusion_policy_aif/K8,10,heldout_start_goal,diffusion_policy_aif
1000,16,False,0.8104836496990174,0.8104833204997703,0.8108123758574948,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/diffusion_policy_aif/K16,10,heldout_start_goal,diffusion_policy_aif
50,8,False,0.02969624410616234,0.029711670998949558,0.029787960229441524,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/flow_matching_aif/K8,10,heldout_start_goal,flow_matching_aif
100,16,False,0.056024224916473034,0.055978981021326035,0.05626521415542811,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/flow_matching_aif/K16,10,heldout_start_goal,flow_matching_aif
250,64,False,0.21408480738755314,0.21406334050698206,0.21553847290342673,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/flow_matching_aif/K64,10,heldout_start_goal,flow_matching_aif
500,128,False,0.42748407267499716,0.4244877854944207,0.43021946751978246,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/flow_matching_aif/K128,10,heldout_start_goal,flow_matching_aif
1000,256,False,0.8509962536976673,0.848504890454933,0.8546897865016945,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/flow_matching_aif/K256,10,heldout_start_goal,flow_matching_aif
50,2,False,0.046087529696524146,0.04600336850853637,0.04633176206843928,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/transformer_aif/K2,10,heldout_start_goal,transformer_aif
100,4,False,0.07398598921718076,0.07395259954500943,0.07417494718683884,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/transformer_aif/K4,10,heldout_start_goal,transformer_aif
250,16,False,0.24030063091777265,0.2403350624954328,0.24061283128103242,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/transformer_aif/K16,10,heldout_start_goal,transformer_aif
500,32,False,0.4615040645119734,0.4613884325372055,0.4619930301094428,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/transformer_aif/K32,10,heldout_start_goal,transformer_aif
1000,64,False,0.9110077055171132,0.9081474885460921,0.9124826255952939,outputs/equal_wall_clock_cpu/calibration_runs/heldout_start_goal/transformer_aif/K64,10,heldout_start_goal,transformer_aif
